,open,high,low,close,SMA_200,RSI,SLOW_K,SLOW_D
2024-09-24,1.3421,1.34684,1.3419,1.3421,1.3588,30.2145,48.9224,52.0173
2024-09-25,1.34822,1.34885,1.34582,1.34822,1.3589,39.8375,49.326,50.0537
2024-09-26,1.34757,1.3505,1.34643,1.34757,1.359,39.2189,45.5587,47.9357
2024-09-29,1.35088,1.35267,1.34898,1.35088,1.3591,43.9886,46.595,47.1599
2024-09-30,1.35272,1.3539,1.3489,1.35272,1.3593,46.5017,46.4836,46.2125
2024-10-01,1.34946,1.34946,1.34719,1.34946,1.3594,42.8346,44.5903,45.8896
2024-10-02,1.35049,1.35511,1.35061,1.35049,1.3596,44.3283,45.4503,45.5081
2024-10-03,1.35482,1.35889,1.3544,1.35482,1.3597,50.2178,48.0823,46.041
2024-10-07,1.3618,1.36747,1.361,1.3618,1.3599,57.9416,50.4263,47.9863
2024-10-08,1.3652,1.36937,1.36477,1.3652,1.3601,61.1072,52.2058,50.2381
2024-10-09,1.37093,1.37673,1.3703,1.37093,1.3603,65.7814,52.8881,51.8401
2024-10-10,1.37457,1.37795,1.37246,1.37457,1.3605,68.3811,57.1311,54.075
2024-10-13,1.37812,1.38005,1.37708,1.37812,1.3607,70.7176,60.1602,56.7265
2024-10-14,1.38029,1.38375,1.3794,1.38029,1.3609,72.0761,63.467,60.2528
2024-10-15,1.37811,1.37926,1.3768,1.37811,1.3612,68.6316,67.552,63.7264
2024-10-17,1.37957,1.38089,1.3785,1.37957,1.3614,69.6768,69.3933,66.8041
2024-10-19,1.38,1.38,1.38,1.38,1.3616,69.9939,70.1944,69.0466
