,open,high,low,close,SMA_200,RSI,SLOW_K,SLOW_D
2024-07-28,0.6555,0.65699,0.65246,0.6555,0.6591,30.5653,35.6299,39.9789
2024-07-29,0.65514,0.6563,0.653,0.65514,0.6592,30.176,33.6486,36.244
2024-07-30,0.65415,0.65422,0.64803,0.65415,0.6593,29.077,35.2882,34.8556
2024-07-31,0.6547,0.65599,0.65147,0.6547,0.6594,30.5886,36.2517,35.0629
2024-08-01,0.64949,0.65476,0.64877,0.64949,0.6595,25.1249,32.8305,34.7901
2024-08-04,0.64972,0.65109,0.63655,0.64972,0.6596,25.761,33.4821,34.1881
2024-08-05,0.65155,0.65397,0.6475,0.65155,0.6596,30.7511,37.5685,34.627
2024-08-06,0.6515,0.65752,0.65135,0.6515,0.6597,30.6907,41.2709,37.4405
2024-08-07,0.6516,0.6582,0.65128,0.6516,0.6598,30.9763,44.8185,41.2193
2024-08-08,0.6592,0.66072,0.65675,0.6592,0.6599,48.7592,47.9923,44.6939
2024-08-11,0.65698,0.6605,0.65702,0.65698,0.6599,45.1024,51.7248,48.1785
2024-08-12,0.65853,0.66166,0.65797,0.65853,0.6599,48.0364,55.4756,51.7309
2024-08-13,0.66386,0.66441,0.66096,0.66386,0.66,56.6049,60.2384,55.813
2024-08-14,0.66,0.66382,0.65753,0.66,0.6601,50.1542,62.3378,59.3506
2024-08-15,0.66125,0.66492,0.66109,0.66125,0.6603,52.0572,64.1672,62.2478
2024-08-18,0.6673,0.67231,0.66733,0.6673,0.6604,60.0234,66.5052,64.3367
2024-08-19,0.67353,0.6748,0.6714,0.67353,0.6606,66.2471,68.552,66.4081
2024-08-20,0.67473,0.6757,0.67329,0.67473,0.6607,67.2984,70.1,68.3857
2024-08-21,0.67497,0.6754,0.67003,0.67497,0.6608,67.5196,75.7221,71.458
2024-08-22,0.67082,0.67915,0.67058,0.67082,0.661,60.0402,73.0675,72.9632
2024-08-25,0.67878,0.6797,0.6767,0.67878,0.6611,67.4813,74.0197,74.2697
2024-08-26,0.67729,0.6792,0.67623,0.67729,0.6612,65.0408,74.2902,73.7924
2024-08-27,0.67879,0.68123,0.6771,0.67879,0.6613,66.3591,74.9115,74.4071
2024-08-28,0.67831,0.6825,0.67841,0.67831,0.6614,65.5075,72.8497,74.0171
2024-08-29,0.67958,0.68164,0.67588,0.67958,0.6616,66.7248,71.7205,73.1606
2024-09-01,0.6768,0.67947,0.67581,0.6768,0.6616,61.6,67.789,70.7864
2024-09-02,0.67873,0.6794,0.67132,0.67873,0.6617,63.6852,65.6782,68.3959
2024-09-03,0.6714,0.67481,0.66874,0.6714,0.6618,52.1103,64.0268,65.8313
2024-09-04,0.67162,0.67408,0.67143,0.67162,0.6618,52.3883,61.7979,63.8343
2024-09-05,0.67405,0.67661,0.66733,0.67405,0.6619,55.483,61.0323,62.2857
2024-09-08,0.66708,0.6689,0.66481,0.66708,0.6619,46.2106,55.5253,59.4518
2024-09-09,0.66579,0.66764,0.66417,0.66579,0.6619,44.7183,49.6939,55.4172
2024-09-10,0.66533,0.66751,0.6623,0.66533,0.6619,44.1738,44.4204,49.8799
2024-09-11,0.6677,0.67,0.66609,0.6677,0.662,47.7207,45.0068,46.3737
2024-09-12,0.67269,0.67331,0.66926,0.67269,0.6621,54.304,45.2838,44.9036
2024-09-15,0.67138,0.6749,0.67066,0.67138,0.6621,52.437,45.0675,45.1194
2024-09-16,0.67519,0.677,0.6742,0.67519,0.6622,57.0604,45.7449,45.3654
2024-09-17,0.67627,0.679,0.67504,0.67627,0.6623,58.2977,46.7453,45.8526
2024-09-18,0.67637,0.684,0.67409,0.67637,0.6624,58.4175,46.199,46.2297
2024-09-19,0.68096,0.68311,0.67834,0.68096,0.6624,63.5743,50.654,47.8661
2024-09-22,0.681,0.68536,0.68017,0.681,0.6625,63.6185,50.2991,49.0507
2024-09-23,0.68341,0.6878,0.68155,0.68341,0.6626,66.1721,53.7742,51.5758
2024-09-24,0.69054,0.6908,0.6835,0.69054,0.6626,72.3526,59.212,54.4284
2024-09-25,0.68216,0.69054,0.68192,0.68216,0.6627,58.7629,57.4479,56.8113
2024-09-26,0.68928,0.6939,0.68689,0.68928,0.6627,64.8107,61.0757,59.2452
2024-09-29,0.69188,0.69411,0.69141,0.69188,0.6628,66.7285,66.0204,61.5147
2024-09-30,0.69158,0.69344,0.68723,0.69158,0.6628,66.2816,70.1684,65.7548
2024-10-01,0.688,0.69159,0.68756,0.688,0.6629,61.0037,71.035,69.0746
2024-10-02,0.68871,0.6888,0.6831,0.68871,0.6629,61.6563,67.934,69.7125
2024-10-03,0.68503,0.6852,0.67884,0.68503,0.6629,56.3939,65.6825,68.2172
2024-10-07,0.6756,0.677,0.67183,0.6756,0.6628,45.643,60.6653,64.7606
2024-10-08,0.67396,0.67606,0.67083,0.67396,0.6628,44.0694,56.11,60.8193
2024-10-09,0.67174,0.67417,0.67136,0.67174,0.6628,41.961,53.0262,56.6005
2024-10-10,0.6741,0.67588,0.67252,0.6741,0.6628,44.9749,49.1378,52.758
2024-10-13,0.67311,0.6746,0.67026,0.67311,0.6628,43.9446,47.7786,49.9808
2024-10-14,0.6726,0.67331,0.67025,0.6726,0.6628,43.3921,45.812,47.5761
2024-10-15,0.66821,0.67011,0.66597,0.66821,0.6628,38.8655,40.3934,44.6613
2024-10-17,0.66997,0.67195,0.66947,0.66997,0.6628,41.5047,41.088,42.4311
2024-10-19,0.67092,0.67092,0.67092,0.67092,0.6628,42.9247,40.4421,40.6412
