,open,high,low,close,SMA_200,RSI,SLOW_K,SLOW_D
2024-07-29,1.08195,1.08378,1.08,1.08195,1.0822,47.0328,47.4781,49.2895
2024-07-30,1.08161,1.08519,1.08087,1.08161,1.0824,46.4631,46.9804,47.8227
2024-07-31,1.08239,1.08378,1.07783,1.08239,1.0825,48.03,45.9338,46.7974
2024-08-01,1.07876,1.09262,1.0783,1.07876,1.0826,41.9139,41.4868,44.8003
2024-08-04,1.09108,1.10074,1.08937,1.09108,1.0828,60.3611,39.7976,42.4061
2024-08-05,1.0951,1.09631,1.09047,1.0951,1.0829,64.3349,40.8306,40.705
2024-08-06,1.09262,1.09364,1.09069,1.09262,1.0831,60.3176,38.8896,39.8392
2024-08-07,1.09281,1.09469,1.08823,1.09281,1.0833,60.5223,40.7096,40.1432
2024-08-08,1.09157,1.09313,1.09096,1.09157,1.0834,58.4143,40.0424,39.8805
2024-08-11,1.09138,1.09397,1.09133,1.09138,1.0835,58.0794,39.6715,40.1411
2024-08-12,1.09363,1.09625,1.09157,1.09363,1.0836,60.9185,42.9913,40.9017
2024-08-13,1.0997,1.10485,1.09883,1.0997,1.0838,67.3618,46.6986,43.1204
2024-08-14,1.10132,1.10169,1.09505,1.10132,1.0839,68.8402,49.6824,46.4574
2024-08-15,1.09727,1.10044,1.09737,1.09727,1.0841,61.3724,49.1014,48.4941
2024-08-18,1.1025,1.10726,1.10239,1.1025,1.0843,66.4345,52.1401,50.308
2024-08-19,1.10865,1.11173,1.10725,1.10865,1.0844,71.2138,56.3637,52.5351
2024-08-20,1.11279,1.11483,1.11056,1.11279,1.0846,73.911,59.2918,55.9318
2024-08-21,1.11554,1.11575,1.10993,1.11554,1.0847,75.5442,65.9032,60.5195
2024-08-22,1.11172,1.11959,1.11068,1.11172,1.0849,69.0617,65.6429,63.6126
2024-08-25,1.11879,1.12011,1.11529,1.11879,1.085,73.5845,66.671,66.0723
2024-08-26,1.11647,1.11796,1.11513,1.11647,1.0851,69.9682,66.6492,66.321
2024-08-27,1.11779,1.11819,1.11054,1.11779,1.0852,70.8468,67.5471,66.9557
2024-08-28,1.1125,1.11402,1.10563,1.1125,1.0853,62.9103,69.0268,67.741
2024-08-29,1.10804,1.10957,1.1054,1.10804,1.0854,57.1215,67.5282,68.034
2024-09-01,1.10448,1.10776,1.10425,1.10448,1.0855,52.9245,62.8435,66.4662
2024-09-02,1.10675,1.10705,1.10337,1.10675,1.0855,55.1766,59.5399,63.3038
2024-09-03,1.10489,1.1094,1.10408,1.10489,1.0856,52.935,55.2266,59.2033
2024-09-04,1.10804,1.11211,1.10752,1.10804,1.0856,56.1921,55.906,56.8908
2024-09-05,1.11111,1.11496,1.10672,1.11111,1.0857,59.1472,55.699,55.6105
2024-09-08,1.10872,1.10914,1.1035,1.10872,1.0858,55.9771,53.1708,54.9253
2024-09-09,1.10375,1.10503,1.10163,1.10375,1.0859,49.9797,47.9021,52.2573
2024-09-10,1.1021,1.1055,1.10028,1.1021,1.086,48.1306,41.7263,47.5997
2024-09-11,1.10109,1.10475,1.10065,1.10109,1.0862,46.9907,38.2492,42.6259
2024-09-12,1.10779,1.11025,1.10739,1.10779,1.0863,54.6763,37.2173,39.0643
2024-09-15,1.10884,1.11354,1.10871,1.10884,1.0865,55.7659,37.2422,37.5696
2024-09-16,1.11295,1.11462,1.11131,1.11295,1.0866,59.813,38.0388,37.4994
2024-09-17,1.11231,1.11408,1.11091,1.11231,1.0868,58.9039,40.6156,38.6322
2024-09-18,1.11148,1.11807,1.10705,1.11148,1.0869,57.6889,42.2032,40.2858
2024-09-19,1.1162,1.11817,1.11373,1.1162,1.087,62.4381,47.9601,43.593
2024-09-22,1.11608,1.11682,1.10849,1.11608,1.0871,62.259,52.1391,47.4341
2024-09-23,1.11117,1.11635,1.1104,1.11117,1.0872,54.8431,53.7727,51.2906
2024-09-24,1.11912,1.12124,1.11417,1.11912,1.0873,62.6047,56.0297,53.9805
2024-09-25,1.1131,1.11896,1.11268,1.1131,1.0874,54.9089,53.8464,54.5496
2024-09-26,1.11772,1.11998,1.11266,1.11772,1.0875,59.066,55.7215,55.1992
2024-09-29,1.11698,1.12084,1.11361,1.11698,1.0876,58.1449,58.9201,56.1627
2024-09-30,1.11366,1.11458,1.10611,1.11366,1.0876,54.0512,61.6002,58.7473
2024-10-01,1.10639,1.10822,1.10341,1.10639,1.0877,46.3576,62.4263,60.9822
2024-10-02,1.10485,1.10485,1.10096,1.10485,1.0876,44.8995,58.4447,60.8237
2024-10-03,1.10356,1.104,1.09561,1.10356,1.0876,43.6585,56.0794,58.9835
2024-10-07,1.09757,1.09975,1.09617,1.09757,1.0876,38.3709,50.503,55.009
2024-10-08,1.09757,1.09806,1.09407,1.09757,1.0875,38.3709,46.31,50.9641
2024-10-09,1.09433,1.09545,1.0914,1.09433,1.0875,35.6564,44.9923,47.2684
2024-10-10,1.09339,1.09542,1.09274,1.09339,1.0875,34.8818,40.2403,43.8476
2024-10-13,1.09254,1.09397,1.09057,1.09254,1.0875,34.1647,35.9672,40.4
2024-10-14,1.09092,1.09182,1.08858,1.09092,1.0875,32.7776,35.0822,37.0966
2024-10-15,1.08841,1.09016,1.08682,1.08841,1.0875,30.7029,30.3285,33.7927
2024-10-17,1.08295,1.08637,1.08282,1.08295,1.0874,26.7333,27.8168,31.0759
2024-10-18,1.08342,1.08731,1.08284,1.08696,1.0874,33.5214,25.2939,27.8131
