,Date,open,high,low,close,SMA_200,RSI,SLOW_K,SLOW_D,Signal_Score,Combined_Signal
0,2024-05-30,1.36833,1.36889,1.36199,1.36833,1.3573,51.9043,44.092,41.708,0.6,1
1,2024-06-02,1.36189,1.36673,1.36029,1.36189,1.3573,45.5341,43.1427,43.1747,0.6,1
2,2024-06-03,1.36287,1.36984,1.36205,1.36287,1.3573,46.608,41.6592,42.9646,0.6,1
3,2024-06-04,1.36762,1.37404,1.3665,1.36762,1.3574,51.5901,44.9385,43.2468,0.6,1
4,2024-06-05,1.369,1.37097,1.3666,1.369,1.3575,52.9633,47.6702,44.756,0.6,1
5,2024-06-06,1.36682,1.37569,1.36557,1.36682,1.3576,50.5251,49.3172,47.3086,0.6,1
6,2024-06-09,1.3759,1.37814,1.3753,1.3759,1.3576,58.9929,52.7104,49.8993,0.6,1
7,2024-06-10,1.37612,1.37898,1.3755,1.37612,1.3577,59.1752,54.2378,52.0885,0.6,1
8,2024-06-11,1.37549,1.376,1.368,1.37549,1.3578,58.3748,53.386,53.4447,0.6,1
9,2024-06-12,1.37219,1.37633,1.37152,1.37219,1.3578,54.2366,50.067,52.5636,0.6,1
10,2024-06-13,1.3741,1.37786,1.3733,1.3741,1.3578,56.1732,51.0769,51.51,0.6,1
11,2024-06-16,1.3733,1.37634,1.3729,1.3733,1.3579,55.121,53.6161,51.5867,0.6,1
12,2024-06-17,1.37133,1.37562,1.3709,1.37133,1.358,52.5127,54.1428,52.9453,0.6,1
13,2024-06-18,1.37162,1.37255,1.3696,1.37162,1.358,52.8664,49.9468,52.5686,0.6,1
14,2024-06-19,1.37058,1.37205,1.36876,1.37058,1.3581,51.3885,47.2219,50.4372,0.6,1
15,2024-06-20,1.36847,1.3716,1.3673,1.36847,1.3582,48.4306,47.2739,48.1475,0.6,1
16,2024-06-23,1.37013,1.3708,1.3651,1.37013,1.3583,50.8285,49.2824,47.9261,0.6,1
17,2024-06-24,1.36579,1.368,1.36315,1.36579,1.3584,44.9444,47.4807,48.0124,0.6,1
18,2024-06-25,1.36611,1.37025,1.36508,1.36611,1.3585,45.4458,45.3317,47.3649,0.6,1
19,2024-06-26,1.37045,1.37119,1.36761,1.37045,1.3586,51.8515,48.4737,47.0954,0.6,1
20,2024-06-27,1.36993,1.37333,1.3674,1.36993,1.3587,51.0776,47.0824,46.9626,0.6,1
21,2024-06-30,1.36727,1.37473,1.36632,1.36727,1.3588,47.1972,44.0043,46.5201,0.6,1
22,2024-07-01,1.37378,1.37549,1.3691,1.37378,1.359,56.0061,44.69,45.2589,0.6,1
23,2024-07-02,1.36768,1.36862,1.36174,1.36768,1.359,47.9362,44.2496,44.3146,0.6,1
24,2024-07-03,1.36333,1.3638,1.3607,1.36333,1.3591,43.1604,41.5515,43.497,0.6,1
25,2024-07-04,1.36152,1.36527,1.3601,1.36152,1.3592,41.3159,38.7628,41.5213,0.6,1
26,2024-07-07,1.3638,1.36459,1.3624,1.3638,1.3592,44.5317,38.0677,39.4607,0.6,1
27,2024-07-08,1.36295,1.36471,1.3628,1.36295,1.3592,43.5729,38.7102,38.5136,0.6,1
28,2024-07-09,1.363,1.36422,1.3607,1.363,1.3591,43.6499,41.2883,39.3554,0.6,1
29,2024-07-10,1.36172,1.36389,1.35891,1.36172,1.3591,42.0703,43.5197,41.1727,0.6,1
30,2024-07-11,1.36244,1.3638,1.3611,1.36244,1.359,43.3129,44.4519,43.0866,0.6,1
31,2024-07-14,1.3646,1.36668,1.36313,1.3646,1.359,46.9867,47.6764,45.216,0.6,1
32,2024-07-15,1.3676,1.37069,1.36642,1.3676,1.3591,51.6716,50.5701,47.5661,0.6,1
33,2024-07-16,1.36695,1.36915,1.3656,1.36695,1.3591,50.6277,49.2745,49.1737,0.6,1
34,2024-07-17,1.36787,1.36987,1.367,1.36787,1.3592,52.1026,49.5597,49.8014,0.6,1
35,2024-07-18,1.3702,1.37465,1.3701,1.3702,1.3592,55.7115,51.4021,50.0787,0.6,1
36,2024-07-21,1.3707,1.37745,1.3708,1.3707,1.3592,56.4694,48.5066,49.8228,0.6,1
37,2024-07-22,1.37612,1.37745,1.3751,1.37612,1.3593,63.7179,51.7621,50.5569,0.6,1
38,2024-07-23,1.37858,1.38066,1.37758,1.37858,1.3593,66.4487,56.5471,52.2719,0.6,1
39,2024-07-24,1.38103,1.38446,1.3807,1.38103,1.3594,68.9548,61.3248,56.5447,0.6,1
40,2024-07-25,1.38193,1.38482,1.38009,1.38193,1.3594,69.8459,65.278,61.0499,0.6,1
41,2024-07-28,1.3828,1.38642,1.38164,1.3828,1.3595,70.7207,67.7473,64.7833,0.0,0
42,2024-07-29,1.38558,1.38637,1.3837,1.38558,1.3596,73.3785,70.2047,67.7433,0.0,0
43,2024-07-30,1.38496,1.38574,1.3787,1.38496,1.3596,71.8131,72.8409,70.2643,0.0,0
44,2024-07-31,1.38083,1.38489,1.37972,1.38083,1.3596,62.2802,70.4644,71.17,0.6,1
45,2024-08-01,1.38806,1.38875,1.3834,1.38806,1.3597,69.8304,71.8862,71.7305,0.6,1
46,2024-08-04,1.38831,1.39409,1.38091,1.38831,1.3597,70.0536,71.0772,71.1426,0.0,0
47,2024-08-05,1.38053,1.38535,1.37891,1.38053,1.3597,56.1346,67.0514,70.0049,0.6,1
48,2024-08-06,1.37865,1.37898,1.37221,1.37865,1.3596,53.3747,64.1113,67.4133,0.6,1
49,2024-08-07,1.37547,1.37648,1.3725,1.37547,1.3596,48.9876,60.7918,63.9848,0.6,1
50,2024-08-08,1.37354,1.37486,1.3718,1.37354,1.3596,46.49,58.2753,61.0594,0.6,1
51,2024-08-11,1.37359,1.37468,1.3718,1.37359,1.3596,46.5659,52.8777,57.3149,0.6,1
52,2024-08-12,1.37423,1.37467,1.37203,1.37423,1.3596,47.5921,49.24,53.4643,0.6,1
53,2024-08-13,1.37091,1.3721,1.3689,1.37091,1.3596,42.981,45.6975,49.2717,0.6,1
54,2024-08-14,1.37157,1.37367,1.36948,1.37157,1.3596,44.1396,43.2269,46.0548,0.6,1
55,2024-08-15,1.37336,1.37361,1.3702,1.37336,1.3595,47.2694,43.8799,44.2681,0.6,1
56,2024-08-18,1.36783,1.36844,1.36354,1.36783,1.3595,39.8425,40.169,42.4253,0.6,1
57,2024-08-19,1.363,1.36411,1.36051,1.363,1.3594,34.7125,35.7285,39.9258,0.6,1
58,2024-08-20,1.36173,1.36228,1.35761,1.36173,1.3594,33.4913,35.5901,37.1625,0.6,1
59,2024-08-21,1.35833,1.36182,1.35719,1.35833,1.3593,30.4074,29.4336,33.5841,-0.6,-1
60,2024-08-22,1.36034,1.3604,1.35,1.36034,1.3592,34.2612,28.9786,31.3341,0.6,1
61,2024-08-25,1.3508,1.35136,1.34631,1.3508,1.3591,26.7029,29.9311,29.4478,0.0,0
